picture,city,ratings,ratingsby,details
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQlfKO-Ea4o4__4MTAwWfw13dcXSRFd4-4YsgIH9H97RlPgJzhoPNpYxrRu9yL2Y3gBOSoA-lJB3ivySOmXbERb6A,K2,4.7,"(4,077)",2nd-highest mountain peak in the world
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSAKh_pDP9gMLKSmyV5ArHmNxJ0G4kBomfKtOPQFVBj49vDBJefntoA5P7nOt2DSmo6-YpILhrMR4V-6Xp88KS5ew,Broad Peak,4.6,(87),"Wide, soaring Himalayan peak near K2"
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSZQ-umUU2H_gixd7XXTWIuWKNqtEEGHDwQYTtD94t3KfUcjtqzQ-abftjSlETyWkXyWwqvUEoxETPmr-UPZ_T5LQ,Muztagh Tower,4.6,(40),Snow-covered peak with a storied history
https://lh5.googleusercontent.com/p/AF1QipPxLpoUBfYL7PoWL69mUmuX36MVRbjGTuEtbtLJ=w464-h260-n-k-no,Diamer Basha Dam Site,,,"River, history and reservoir"
ttps://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTzbeuIOGMU8QWICsE60niog0y1WgQ_JxTN6Id0jg3pQE1ag9TEKNGEnM4Ej5sjc3JvVDxXhe-M5SWR2TbSNeYFeg,Baltit Fort,4.6,"(4,640)",8th century fortification remains
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcS8n0qxGh9r7gcBq68mpADjhi5NEeZ90jgZxL23Hs8TH7PJkZPitgPFLcvxce2a3Cu6LpjYOuohvHhO7LaKbxeo2Q,Attabad Lake,4.8,"(1,137)",Lake formed by a landslide in 2010
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRqX7Lj78emrkYSPoO8eyowxJTV-KK_T8IphkMQRq3VsdxBij2FKjJrbakchRmPXA7OgSwTU9xR44K7qNpnGwiVGg,Khabasi Residence,4.5,"(2,219)",Traditional-style lodging & a cafe
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRAts-LerJ9X_qPcyD8wRcYtQgTAg9EXaGAiXhlvC1gDRDSXzKnCnfyMUMYvRJd3zCnEbjq-DmBTqGZ6DGxKusBUQ,Ultar Sar,4.9,(28),Rugged peak with alpine climbing
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcR_hgbBFh-gWY4daISbpBKAuEzzTI2GuQIVqAHOZzc_LUokkagC17Atiky1J8WI8KN-n8SQu6bpfjRthl81_CpP2Q,Lady Finger,4.7,(35),"Mountain peak with a 20,000-ft. summit"
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTxPGn_HGMYmEiqP6dERW-WGwR2fCc4uMsVpnGI1_FCu63MjF2qTB2HR54vUy9JzJaGwAjkNCZz3A1XQGTHMsIh2A,Shisparé Sar,4.9,(16),"Mountaineering, climbing, glacier, mountain, and adventure"
https://lh5.googleusercontent.com/p/AF1QipM1liV4OXFVMtbgh9czAivnKfzYcVjlw5AjlIn0=w464-h260-n-k-no,Hopar Valley,4.8,(28),Glacier and adventure
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSVj-20LB3idqgXtJ0Zt_RGl5GW6Th_7y8Y4r2IaGKp2gTsWpa6zIuVRtb0q-5yRh7Ahyi3rvLaUAS9LUl05wxWcA,Hunza Peak,5.0,(2),"Climbing, mountain, and nature"
https://lh5.googleusercontent.com/p/AF1QipN6V_FJSZ2KxnwkJxBn2c44zChsiHXsQRo60D9v=w464-h260-n-k-no,Sacred Rocks of Hunza (Haldeikish),4.4,(50),
https://lh5.googleusercontent.com/p/AF1QipNHCwQdgoFQqZ0Nu68yOWyetLkhEHD7F43wJaX9=w464-h260-n-k-no,Pasu Sar,5.0,(8),"Climbing, glacier, mountain, and adventure"
https://lh5.googleusercontent.com/p/AF1QipOeF18noquFf43Tz6gk3eV-m2F2svgWKxfyj6jZ=w464-h260-n-k-no,Rakaposhi View Point,4.7,"(2,885)",
https://lh5.googleusercontent.com/p/AF1QipO-uEMiocmO4YhZAW4JkeA0G8-aKMlPZj5mJjdw=w464-h260-n-k-no,Altit Fort,,,
