picture,city,ratings,details
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRZXE7YxmD5gMS33jQJJ0pK8YrXokZrdH8DOUp3ArQf2LdAnWlZTrHCd1k9sEIMHQSfbF0MRRwrWbRLPnbdvsybCg,"Faisal Masjid, Islamabad",4.8,Modern Bedouin-tent-inspired mosque
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSwVp8lh8jEv1molc4-lHphd5UWN336hu4RkNsNs9QBduR5xySogy65hBiGwIoxl131-85F3vo0iOZT-qae-M0yqg,Pakistan Monument,4.6,National landmark with a museum
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcScQ93ph7smU4aKT8z67zFh2M4f3hN0sFPRYzLZthzBO4W94fwugHgvCJpwF1eRg-Xd9lwI9Zw-dfkA7TNt4InhYQ,Daman-e-Koh,4.6,Scenic lookout point & landscaped garden
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRQTFIPVtB9xNqKUe7snsei4NIIYmILl8nvngHV4IFRCcIjasB0kP5R8vopIvqpYP94SjnK6KlmFFRZZa6LR2jdGw,Lok Virsa Heritage Museum,4.6,Museum devoted to Pakistani culture
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcScQ93ph7smU4aKT8z67zFh2M4f3hN0sFPRYzLZthzBO4W94fwugHgvCJpwF1eRg-Xd9lwI9Zw-dfkA7TNt4InhYQ,Margala Hills,4.7,"Lush, scenic peaks in a national park"
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcRD-LMUGsftdJiVQFd3yaXIhnHgogWGU5T21bVhMEdIBEQvHShdRWycS6Hyx29Gss2p_GTuNvPz4EgJGgQCk85hoA,Margalla Hills National Park,4.5,National park in Himalayan foothills
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTT2vbG1znBs8woaPQtMwO-n5DRb4npGlouikJPTZBqVTzeA540j3dD6mTDQxIOJYFjTLeK9rhcoPaCj45e47R6WA,Rawal Lake,4.5,"Standby for fishing, picnics & views"
https://lh5.googleusercontent.com/p/AF1QipPf4VcS3EpzOM-RNgQPDGnsVc-75CcwjsQ-gLeS=w464-h260-n-k-no,Fatima Jinnah Park,4.6,Vast recreation area & wildlife refuge
https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcS3gW5PZpzHp5xeRM64zxirK84BsQQB9dA1Ane2BBhmnC-lwzcxuQ1KystfPktXOLHqlFGtTgxQUFDU2Jbc3eq8AQ,Shakarparian National Park,4.4,Hill & monument overlooking the city
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSjNUPZvUJgIq6MX6zEuMn5PlbPhNGKoap0zdw68XykRNFm2vVdXHDgmlIU0nYDfrgI9NMlbzhS3ahRLBOaiD6Qsw,Khanpur Dam,,Rockfill dam & greeny-blue reservoir
