picture,city,ratings,ratingsby,details
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ7Opky89qmeGIlqYSEjyYpUFET-0sQGDiDuVI0W2kDeUshyRY0emKQKoX2ctPMCx2ikSrhO4XsfO132GNu9dTnzw,Mohatta Palace,4.4,"(3,382)",Cultural-history museum & gardens
https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSN_C3n6fnl56IuwR5ChhK1NcTuAGNP7h7VfzyC5d_jT7PV4k5FClLEd_JME7lDpLj9KDmll29rKbdb4HK7brId_w,"Mazar-e-Quaid, Jinnah's Mausoleum",4.6,"(7,218)",Striking white-marble monument
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTW_lpjRiGbttRfWS2wuCmx55xRLJS7evmgW8aRRWCQCCf0Oy7iMjiHi96vMuGGe-OB7clq22K5kPW2dtms9WBSw,"Clifton Beach, Karachi",4.2,"(1,999)","Wide, sandy beach with sea views"
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShZfnV3CLnlhpxO8c2q8_e2gb9VpMiQ_ssaV8XXkHRWmPX_BvY0_gAuUPr3HwZXnq9ewb64j6PBVfEC7hUX-K78Q,Frere Hall,4.4,"(7,126)",19th-century landmark with a lush garden
https://lh5.googleusercontent.com/p/AF1QipNCdSvtyQQgs2071NY4SG3r_amsS62Q_bM6BOgj=w464-h260-n-k-no,Pakistan Air Force Museum,4.7,"(16,102)",Showcase for historic aircraft
https://lh5.googleusercontent.com/p/AF1QipMPB3bHScLlS9JQ8cSP07mayOr_b-M_hP7HaONW=w464-h260-n-k-no,National Museum Of Pakistan,4.3,"(1,025)",Museum of Pakistani culture & heritage
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcT-VuIvIa8qRZhuyei2QTARKjIDXJzz-HU3SLOEbgX96Fild1Cka8P-rwUyh9khwtbzZtEpvPOFdkz3hrgJgv8-MQ,Chaukhandi Tombs,4.3,(180),Ornate tombs in an Islamic cemetery
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcQiyAs21u8-9Q4UsKHmKrbf_JO26mEnpx3MjW5UNl34_t-qjj2WZijcQIEITH2EREuuEflCCRkc4DSbHjEbq43cxg,Masjid-e-Tooba,4.8,"(4,213)",Dome-shaped mosque of white marble
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRGOaB67hrPWVVTNExr8ZPuHXlnBBaQ5fz2K3HLIF39vZAhBXOBKTwHZUm6nuSx6vA-72tFc4nrosWz6DbEn_d1Fg,Charna Island,4.5,(344),"Small, uninhabited island"
https://lh5.googleusercontent.com/p/AF1QipO67tbsYIUv5RvnaT1y7KRDUT7R7pa55eU7aqR-=w464-h260-n-k-no,Karachi Zoo Park,3.8,"(11,272)","Zoo with animals, a museum & a garden"
https://lh5.googleusercontent.com/p/AF1QipNnk5vUyKIO4eD0rOkQBDIKsZoov0QB-U8bZpQt=w464-h260-n-k-no,Quaid e Azam House Museum,4.6,"(1,332)",Museum and architecture
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcSDHoZTbO5QWfzZrAXHTQnO-roNgqFAT28G0XXIGff-s8-QlvwxtR9hkXHCtFkW_Wa5aqxq2aR_z8IYPwEJSyP5Fw,Hawke's Bay Beach,4.4,"(1,000)",Camel riding & green sea turtles
https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSoXj8Qn0gdcJBLd6vNSvXObaJHW6yIESQsSJ3CTaY-zz025sbfisC0sd6qiMf7uKryRCkpI1wV6m6-Dn-80-KBCw,Empress Market,4.2,"(4,431)","Busy, historic market with many vendors"
https://lh5.googleusercontent.com/p/AF1QipMfXlmm0IQkiDN4U59nEAs86w8FJcJqqnb0kmyM=w464-h260-n-k-no,Port Grand,4.4,"(19,547)",Buzzy waterfront entertainment complex
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcSbZYbhzr3TI5tK7tCmzbvuWfK3Pqeq5PSadJGZFJOXbeLfGoRggyzN0rDZF712TTliqsEgyr_LjuCFUoEvEIfskg,"French Beach, Karachi",4.5,(848),"Surfing, swimming & scuba diving"
https://lh5.googleusercontent.com/p/AF1QipNR24r5oXQRCwOqPiaUVCUJYK1Id-fm69byN_XS=w464-h260-n-k-no,Artciti Gallery,4.5,(73),"Shopping, art, painting, and art museum"
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcS93o5JkOSKZLBkFEqPhibqoVJmYyuLX6xEh93FecJRhaE6hi3djp0y-rq6cvJCpJK_wwvfIhDIs0z_l3o9YqZXYQ,Safari Park,3.8,"(8,150)","Ponds, rope bridges & children’s rides"
https://lh5.googleusercontent.com/p/AF1QipOS3IQ8D6wBfIEmcxwodF2JTo7iokcdLwxIsYJ-=w464-h260-n-k-no,Pakistan Maritime Museum,4.4,"(6,935)",Maritime museum with a submarine
https://lh5.googleusercontent.com/p/AF1QipPwFUfrLQcmYXghemaksY2ZuqVLQt5iJnUMAVNn=w464-h260-n-k-no,Aladin Park,4.1,"(16,624)",Theme park rides & a chair lift
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcRDO-LKWc2QW-d3Ph_-b58CKvCBAbe4uKYMhIrn1RWiFvFZngxnzfoi_BS0Q35nJ_Y5LxFKAuP8_ZHL6O6lG1SFzA,St. Patrick's Cathedral,4.7,(325),"Cathedral, saint patrick, architecture, and history"
https://lh5.googleusercontent.com/p/AF1QipN4FCI3UT-ts01aNc4zx2SgYNIBc6GrPkyFCIGR=w464-h260-n-k-no,Clifton Art Gallery,4.6,(58),"Art museum, painting, art, and islamic art"
https://lh5.googleusercontent.com/p/AF1QipOQVefZTFzpkozdKtX_ubAUrzxhlZtEKksVsAK2=w464-h260-n-k-no,Do Darya,4.5,"(3,317)",Seafront restaurants & sunset views
https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSkgnYlwx3uK-NW3rut4fL3NaXCtN1t19HGaqRZEUSGZGt4cJwkAs6QcF5D45-V5J8p9GJosjbJw8Y8bypTuW0anQ,Shamspir Island,4.4,(83),Harbor island & fishing community
