picture,city,ratings,ratingsby,details
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTbaIgnHDI7qJ4z9bVPOZsS4MuRYMvEolaGXv23FpnzQPIOv5rrcWEbzg2wh4CCFdnMlIsq5-uGa9h8o9PfP_tG3g,Saif-ul-Maluk Lake,4.7,"(2,112)",Scenic lake surrounded by mountains
https://lh5.googleusercontent.com/p/AF1QipMP6bsXRnjJIE-UmylKPC9XblTFq1Geh-SzaEd5=w464-h260-n-k-no,Naran Valley,4.6,(54),
https://lh5.googleusercontent.com/p/AF1QipN0bJcgrrHY8IuDPCME3qGriOqLOlfWt_ART6C7=w464-h260-n-k-no,Kunhar River,4.7,(253),Mountain and nature
https://lh5.googleusercontent.com/p/AF1QipOV5CoNTOuwFCdAUU0DKQWZQjwAfX3QpN8G_aSM=w464-h260-n-k-no,Saif-ul-Mulook National Park,4.6,"(3,549)",High altitude national park & lake
https://lh5.googleusercontent.com/p/AF1QipOY0FecexlsIFR3Hr4VNgGCq62uGNAST2roT5rL=w464-h260-n-k-no,Ansoo Lake,4.6,(135),"Remote, teardrop-shaped Himalaya lake"
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQp5xzZjVbdoxCiU-lyM7lVjoqb75tVpPvHjGM4Y-rA0ppXXkNSITYQfRveMDZLIV-52zFdatQFEZVXgtg9sp9WOw,Makra Peak,4.8,(69),"Climbing, hiking & valley views"
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRkA9XE5xeHn5QKoeqk__o8-WSWTKYI4XNAEz4bLr8fP_a4Qtb_9Cf2s4ElBgEKxLfn2PO3ozbPWGUp0u4cZMD5bQ,Payee Lake,4.8,(68),Lake
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcT3FnSCVjQ04q84dBwnSC3HOLYY7x36oED8imG3v1TYdnHJR_2h2jVW1a2-5EVgVQ-xLzYJOqgtM1nOnhWswOw-dw,Dudipatsar,4.8,(101),Scenic lake encircled by snow clad peaks
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSsGo4aRgQbGSisseCJgjPYRzl28FmjkOSR0AvMTltcV4PsDyDEOTU3hmtckabVRpRopWcoSEf9VZs4lx_5MsAtLA,Lalazar,4.6,(665),High-altitude spot with scenic views
https://lh5.googleusercontent.com/p/AF1QipPy4wSgxtLvuoh_mNyswWkZoM4DKZzKvFCUkNOi=w464-h260-n-k-no,Musa ka Musalla,4.8,(65),Mountain
https://lh5.googleusercontent.com/p/AF1QipOP8DzkjMn8OeIQN3dd8kARKdQMZjMMu2Fzr6rc=w464-h260-n-k-no,Siri Lake,4.6,(42),"Lake, mountain and nature"
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcSSEHfp4Jlj75GXP9I27ngM0mc989Ma4T_I5ToG9_xWJqH64hHhEco8OMh4mreONOxfVqpBdt4uJsRNPMMEAOx4xQ,Malika Parbat,5.0,(42),"Mountain, climbing and lake"
https://lh5.googleusercontent.com/p/AF1QipM0cWN6lnKxHcMv3B4SYi0eKhbCwCdHDrgIuIhr=w464-h260-n-k-no,Ghanool,4.4,(42),
https://lh5.googleusercontent.com/p/AF1QipN8SsZx-GRqOrZXiET1mcOqldYnpsvldKwsxId5=w464-h260-n-k-no,Lulusar-Dudipatsar National Park,4.7,"(1,945)",Lake
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSOemGRjlsbIV1Jp-WgOCnz_5VjBxCVgU69bCw0vBqNCfw-rugblgbEsYZk5YhXCEAmCZptKC2LcwB800QhWFoPlw,Sharan Forest,4.7,(161),Forest
https://lh5.googleusercontent.com/p/AF1QipOqJH6YXrQiwtF9xM7rtl0YceQN7iCUiz0Dzi4c=w464-h260-n-k-no,Lulusar Lake,4.8,(863),Lake
https://lh5.googleusercontent.com/p/AF1QipPR2ManIU0BSs2FJs0e3gmUIIrfwkY0XF-7NqFs=w464-h260-n-k-no-v1,Machiara National Park,3.5,(15),Park and leopard
https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcSOemGRjlsbIV1Jp-WgOCnz_5VjBxCVgU69bCw0vBqNCfw-rugblgbEsYZk5YhXCEAmCZptKC2LcwB800QhWFoPlw,Sharan Forest,4.7,(162),Forest
https://lh5.googleusercontent.com/p/AF1QipPeEmbEBnn8_JV68dPuP_DSqZwqVZcpjDJDg3hR=w464-h260-n-k-no-v1,Kund bangla forest resort,4.8,(10),
