picture,city,ratings,ratingsby,details
https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcRqjrPAD5UDPxgJg-EETVpurZLHASKaOHWpXx2Fr2nNOtRLHp-b39GE8QE5-J0ZCatV2Scai8qnrkqXhRCj_a7_eQ,Masjid Mahabat Khan,4.7,"(2,193)",Landmark 17th century Mughal mosque
https://lh5.googleusercontent.com/p/AF1QipOUvZ0AzeGWJHMa0YYdoaC8XtnkAuCYSV-xJ0iq=w464-h260-n-k-no,Peshawar Museum,4.4,"(1,266)",History & art in an old memorial hall
https://lh5.googleusercontent.com/p/AF1QipNCgp0k7K-hd_Q8YsbqKO70syA7dsfDgX_Xk109=w464-h260-n-k-no,Peshawar Zoo,4.3,"(4,348)",Zoo
https://lh5.googleusercontent.com/p/AF1QipPOlSH4RLPrXNO2TloXH3Eq00nEuK2R2TJ6GYPk=w464-h260-n-k-no,Jamrud Fort,4.3,(375),Fortress built in 1836 by a Sikh general
https://lh5.googleusercontent.com/p/AF1QipPhTXiiFpFKBFP_K-RyHEUbxfEJNObKz4r_hOth=w464-h260-n-k-no,Sir Cunningham Clock Tower,4.5,"(2,153)",Architecture
https://lh5.googleusercontent.com/p/AF1QipPo2lW2t9KKU4bgqvD2Xn6NULZ93baR88IdkCUX=w464-h260-n-k-no,Sethi House Museum,4.4,(37),History
https://lh5.googleusercontent.com/p/AF1QipMqk0-n9sLlOv9DRQ-l7orwjGo-U4CqebquXe8i=w464-h260-n-k-no,Bab-e-Khyber,4.6,"(1,164)",History
https://lh5.googleusercontent.com/p/AF1QipM5WnAw1K44ywA5Pmgx-hlaLYuX1WRZQRB6CxHS=w464-h260-n-k-no,Wazīr Bāgh (1802),4.2,"(1,058)",Park
https://lh5.googleusercontent.com/p/AF1QipNV5Lnux_Ep-1F4mNuwzl7dxmCBaOGydN2F7laM=w464-h260-n-k-no,Tatara Park,4.1,"(2,017)",Park
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg39aUUUFSYTqio4ARoIEgJlbhoCUEsgACoFLQAAgD8,Sethial Street,,,History and monument
https://lh5.googleusercontent.com/p/AF1QipMgudBpwxIumjREFTqzAnUuhqU5hUAuKpg_iDgQ=w464-h260-n-k-no,Baab e Khyber,,,History
https://lh5.googleusercontent.com/p/AF1QipMqgyPQIvHR4kiGyx8lWbT8Dmnk5xWy-Umd0-48=w464-h260-n-k-no,Kanishka Stupa Fort,4.0,(57),"Ancient history, art, monument, and history"
