picture,city,ratings,ratingsby,details
https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcQbLIdbFpHXyttP1PoPB1MsBTcr8wp7fIfan4jO1NromM3bmrI9vZ-znRPARWyiuzO9bzCuyuCUTjSZ1pbvKaqPTA,Hanna Lake,4.3,(634),Scenic waterfront & picnic/dining spot
https://lh5.googleusercontent.com/p/AF1QipM97YQpFiZBNQ40mZ4KJkNKu4gbZyGmqzchvk84=w464-h260-n-k-no,Fatima Jinnah Family Park Quetta,3.8,(712),Park
https://lh5.googleusercontent.com/p/AF1QipOoKaCAmqOxmIGsNFd_SKB-CuWT8n2eSR20FuvV=w464-h260-n-k-no,Spin Karez,4.3,(28),
https://lh5.googleusercontent.com/p/AF1QipPCkmSF_4MPXIjs4ulVJgn0AKsGlm-gzbkYGvOx=w464-h260-n-k-no,Chiltan Mountain,4.4,(11),Mountain
https://lh5.googleusercontent.com/p/AF1QipOK3wInoIOFXnsRLzVtY6i7BWLLtHVZEc_tzlMH=w464-h260-n-k-no,Murdar Mountain,4.2,(57),Nature
https://lh5.googleusercontent.com/p/AF1QipPQXXE4JlQibBa241I8qlgML6fH3d2ehaWw17vv=w464-h260-n-k-no,Picnic Point,,,Nature
https://lh5.googleusercontent.com/p/AF1QipP2go3ni6GNWZmEziUoRRM8zW1MLK7QQvNFZVYe=w464-h260-n-k-no,Chiltan Park,4.0,(91),Park
https://www.google.com/maps/vt/bpb=CgwiChAOCgYI0AMQhAISAggAEhQIAjIQCg4KCg0nqgESFc6u8Cc4ARoIEgJlbhoCUEsgACoFLQAAgD8,Quetta Fort,,,History
https://lh5.googleusercontent.com/p/AF1QipMam5TM1mwPiW1D4_5rHtf4AsCNTer2yj3fC1c5=w464-h260-n-k-no,Liaquat Family Park,3.5,(735),
https://lh5.googleusercontent.com/p/AF1QipPWqNn8l6DwE6nLFjXmzk_coUZrLo4a27tBuauN=w464-h260-n-k-no,Ziarat Park,,,Square with benches & play equipment
https://lh5.googleusercontent.com/p/AF1QipO9tfTZVkVN5FRJaW3Bry6gJ5z6SnX2KONhXkk=w464-h260-n-k-no,Miri Fort,4.2,(190),History
https://lh5.googleusercontent.com/p/AF1QipPxDdEGFS-nG43SEicnIqEDPyiHjfSSjmlhvmwZ=w464-h260-n-k-no,Jabal-e-Noor Ul Quran,4.4,(217),History
https://lh5.googleusercontent.com/p/AF1QipMuFa5nuYaMvEohgcDjl9cQEwaKdrCHtUClT6sH=w464-h260-n-k-no,Lak Pass,4.2,(5),
https://lh5.googleusercontent.com/p/AF1QipOHshzAYHYHj4tUSPDO220AkdZwpbgEWh5yMuDY=w464-h260-n-k-no,Lakpass,3.7,(43),
